2025-09-21 01:30:46,987 - INFO - Successfully loaded environment variables from: C:\Users\ariro\OneDrive\Documents\Bible\.env
2025-09-21 01:30:46,988 - INFO - === PROCESSING DEUTERONOMY CHAPTER(S) [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34] WITH MULTI-MODEL API ===
2025-09-21 01:30:46,992 - INFO - Initializing Sefaria client...
2025-09-21 01:30:46,992 - INFO - Initializing Gemini multi-model API...
2025-09-21 01:30:46,993 - INFO - Creating database: deuteronomy_multi_multi_model_20250921_013046.db
2025-09-21 01:30:47,174 - INFO - --- Processing Deuteronomy 1 ---
2025-09-21 01:30:47,174 - INFO - Fetching text for Deuteronomy 1...
2025-09-21 01:30:47,561 - INFO - Retrieved 46 verses for Deuteronomy 1
2025-09-21 01:30:47,561 - INFO -   Processing Deuteronomy 1:1 (1/46)...
2025-09-21 01:30:51,631 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 509, 'output_tokens': 1, 'fallback_used': False}
2025-09-21 01:30:51,636 - INFO -   Processing Deuteronomy 1:2 (2/46)...
2025-09-21 01:30:54,571 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 408, 'output_tokens': 1, 'fallback_used': False}
2025-09-21 01:30:54,571 - INFO -   Processing Deuteronomy 1:3 (3/46)...
2025-09-21 01:30:58,007 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 476, 'output_tokens': 1, 'fallback_used': False}
2025-09-21 01:30:58,007 - INFO -   Processing Deuteronomy 1:4 (4/46)...
2025-09-21 01:31:00,847 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 486, 'output_tokens': 1, 'fallback_used': False}
2025-09-21 01:31:00,847 - INFO -   Processing Deuteronomy 1:5 (5/46)...
2025-09-21 01:31:03,821 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 395, 'output_tokens': 1, 'fallback_used': False}
2025-09-21 01:31:03,822 - INFO -   Processing Deuteronomy 1:6 (6/46)...
2025-09-21 01:31:06,579 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 393, 'output_tokens': 1, 'fallback_used': False}
2025-09-21 01:31:06,580 - INFO -   Processing Deuteronomy 1:7 (7/46)...
2025-09-21 01:31:09,870 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 565, 'output_tokens': 1, 'fallback_used': False}
2025-09-21 01:31:09,870 - INFO -   Processing Deuteronomy 1:8 (8/46)...
2025-09-21 01:31:17,534 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 499, 'output_tokens': 1, 'fallback_used': False}
2025-09-21 01:31:17,534 - INFO -   Processing Deuteronomy 1:9 (9/46)...
2025-09-21 01:31:28,546 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 376, 'output_tokens': 193, 'fallback_used': False}
2025-09-21 01:31:28,547 - INFO -     FOUND: 1 figurative instances
2025-09-21 01:31:28,547 - INFO -       Instance 1: metaphor - 'bear the burden of you'
2025-09-21 01:31:28,548 - INFO -   Processing Deuteronomy 1:10 (10/46)...
2025-09-21 01:31:35,051 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 391, 'output_tokens': 224, 'fallback_used': False}
2025-09-21 01:31:35,051 - INFO -     FOUND: 1 figurative instances
2025-09-21 01:31:35,052 - INFO -       Instance 1: simile - 'as numerous as the stars in the sky'
2025-09-21 01:31:35,052 - INFO -   Processing Deuteronomy 1:11 (11/46)...
2025-09-21 01:31:46,096 - INFO -     API Metadata: {'model_used': 'gemini-2.5-flash', 'context': 'narrative', 'retries': 0, 'input_tokens': 417, 'output_tokens': 217, 'fallback_used': False}
2025-09-21 01:31:46,097 - INFO -     FOUND: 1 figurative instances
2025-09-21 01:31:46,097 - INFO -       Instance 1: simile - 'as promised'
2025-09-21 01:31:46,098 - INFO -   Processing Deuteronomy 1:12 (12/46)...
